country,region,gdp_nominal,year
,,,
,,,
,,"109,529,216	",2024
United States,Americas,"28,781,083",2024
China,Asia,"18,532,633",2024
Germany,Europe,"4,591,100",2024
Japan,Asia,"4,110,452",2024
India,Asia,"3,937,011",2024
United Kingdom,Europe,"3,495,261",2024
France,Europe,"3,130,014",2024
Brazil,Americas,"2,331,391",2024
Italy,Europe,"2,328,028",2024
Canada,Americas,"2,242,182",2024
Russia,Europe,"2,056,844",2024
Mexico,Americas,"2,017,025",2024
Australia,Oceania,"1,790,348",2024
South Korea,Asia,"1,760,947",2024
Spain,Europe,"1,647,114",2024
Indonesia,Asia,"1,475,690",2024
Netherlands,Europe,"1,142,513",2024
Turkey,Asia,"1,113,561",2024
Saudi Arabia,Asia,"1,106,015",2024
Switzerland,Europe,"938,458",2024
Poland,Europe,"844,623",2024
Taiwan,Asia,"802,958",2024
Belgium,Europe,"655,192",2024
Sweden,Europe,"623,048",2024
Argentina,Americas,"604,260",2024
Ireland,Europe,"564,020",2024
Thailand,Asia,"548,890",2024
Austria,Europe,"540,887",2024
Israel,Asia,"530,664",2024
United Arab Emirates,Asia,"527,796",2024
Norway,Europe,"526,951",2024
Singapore,Asia,"525,230",2024
Philippines,Asia,"471,516",2024
Vietnam,Asia,"465,814",2024
Iran,Asia,"464,181",2024
Bangladesh,Asia,"455,162",2024
Malaysia,Asia,"445,519",2024
Denmark,Europe,"409,989",2024
Hong Kong,Asia,"406,775",2024
Colombia,Americas,"386,076",2024
South Africa,Africa,"373,233",2024
Romania,Europe,"369,971",2024
Egypt,Africa,"347,594",2024
Pakistan,Asia,"338,237",2023
Chile,Americas,"333,760",2024
Czech Republic,Europe,"325,880",2024
Finland,Europe,"308,055",2024
Portugal,Europe,"298,949",2024
Kazakhstan,Asia,"296,740",2024
Peru,Americas,"282,458",2024
Algeria,Africa,"266,780",2024
Iraq,Asia,"265,894",2024
New Zealand,Oceania,"257,626",2024
Nigeria,Africa,"252,738",2024
Greece,Europe,"250,276",2024
Qatar,Asia,"244,686",2024
Hungary,Europe,"223,413",2024
Ethiopia,Africa,"205,130",2024
Ukraine,Europe,"188,943",2024
Kuwait,Asia,"160,397",2024
Morocco,Africa,"152,377",2024
Slovakia,Europe,"140,808",2024
Dominican Republic,Americas,"127,356",2024
Cuba,Americas,—,"107,350"
Ecuador,Americas,"121,592",2024
Puerto Rico,Americas,"117,763",2024
Guatemala,Americas,"110,035",2024
Oman,Asia,"108,927",2024
Bulgaria,Europe,"107,933",2024
Kenya,Africa,"104,001",2024
Venezuela,Americas,"102,328",2024
Uzbekistan,Asia,"97,956",2024
Costa Rica,Americas,"96,058",2024
Angola,Africa,"92,123",2024
Luxembourg,Europe,"88,556",2024
Croatia,Europe,"88,076",2024
Panama,Americas,"87,347",2024
Ivory Coast,Africa,"86,911",2024
Uruguay,Americas,"82,605",2024
Turkmenistan,Asia,"81,896",2024
Serbia,Europe,"81,873",2024
Lithuania,Europe,"81,170",2024
Tanzania,Africa,"79,605",2024
Azerbaijan,Asia,"78,749",2024
Ghana,Africa,"75,244",2024
Sri Lanka,Asia,—,"74,404"
DR Congo,Africa,"73,761",2024
Slovenia,Europe,"72,101",2024
