title,plot,url
Drug (1988) - full transcript,"Looking for the money for a drink, an alcoholic gets a Newfoundland dog as a present from a stranger at a bird fair. He'll soon find out that the animal is not only able to speak, but to get him to give up drinking as well. Now he's determined to get rid of the dog, but that won't be an easy task.",https://subslikescript.com/movie/Drug-92930
"Ah Fai, the Dumb (1997) - full transcript","Many plots are interwoven.  Feeble-minded Fai-26 is pampered by Millie, his still-attractive mother.  Little Ping and his sister-by-adoption, Minmin, are Fai's loyal friends.  Their father Uncle Ying, who was once Millie's suitor, is reluctant to take Fai as a boarder so that Millie can marry Philip.  Minmin is happy selling pirated tapes on Hong Kong's notorious Portland Street, but Little Ping, whom she loves, aims for a career in the performing arts.  Mandarin as well as English subtitles.",https://subslikescript.com/movie/Ah_Fai_the_Dumb-183891
Tarla (2023) - full transcript,"Explores Tarla Dalal's journey and legacy as an iconoclast during the early liberalisation period, empowering women through the art of cooking.",https://subslikescript.com/movie/Tarla-27816768
Hu dan nu er hong (1990) - full transcript,,https://subslikescript.com/movie/Hu_dan_nu_er_hong-97535
1982: Greatest Geek Year Ever! (2022) - full transcript,"A remarkable new epic documentary spotlighting the pop culture milestones of 1982 including notable motion pictures, TV, music and video games of that seminal year.",https://subslikescript.com/movie/1982_Greatest_Geek_Year_Ever-15035478
My Name Is Nobody (2000) - full transcript,"Nameless is an orphan and falls for blind model Bitter. He mastered the technique of gambling and becomes famous. However, his buddy Chun set him up.",https://subslikescript.com/movie/My_Name_Is_Nobody-275538
My Flying Wife (1991) - full transcript,"A woman who is in debt to loan sharks is about to commit suicide to escape her debts. Two ghosts are waiting to take her soul when she dies, but at the last moment she is rescued by a member of the loan shark gang who is in love with her. The ghosts, angry at being deprived of a soul, take their vengeance on the gang.",https://subslikescript.com/movie/My_Flying_Wife-102434
It's Now or Never (1992) - full transcript,"The story of an aging gigolo, his two rebellious daughters and their friend ""Little Bun"".",https://subslikescript.com/movie/Its_Now_or_Never-104535
Dawn (2023) - full transcript,"Follows the dark, twisted history of Dawn Longchamp and her family, along with the Cutler and Booth families.",https://subslikescript.com/movie/Dawn-22074850
Out of Season (2004) - full transcript,"It is out of season and the temporary employee Pierre of an amusement park seaside has all his savings stolen by the crook Simeon Guant, a friend of his girlfriend Kelly Phillips. Kelly is daughter of the owner of the park, Michael Philipps, who is married with Eileen Phillips. Eileen cheats her husband with Simeon, and they plot to kill Michael simulating a burglary and get his life insurance. Pierre, without any money, associates to the owner of a bar, the former thief Harry Barlow, who teaches him how to burglar. The reunion of these six characters has no happy ending.",https://subslikescript.com/movie/Out_of_Season-366860
Down in Paris (2021) - full transcript,"Richard Barlow, a 40-year-old filmmaker conquered by an unexplained anxiety attack, lets go of his current shoot and wanders through nocturnal Paris, in search of answers, solace and inspiration. During this sleepless night, at random encounters, sometimes warm, sometimes disturbing, crossing foreign figures, unknown bodies or familiar faces, Richard will face his fears and question his deep desires - until dawn.",https://subslikescript.com/movie/Down_in_Paris-11880722
Mocro Maffia: Tatta (2023) - full transcript,"After the kidnapping of Samira, Pope's sister, Tatta is also missing. He is preparing an act of revenge against his former ally Pope. For this plan to succeed, he needs the help of his older brother Otto. However, he is imprisoned...",https://subslikescript.com/movie/Mocro_Maffia_Tatta-26802075
A Royal Christmas Crush (2023) - full transcript,"Ava accepts the opportunity of a lifetime to work at the Royal Ice Hotel which leads her to a surprise whirlwind romance with the most important guest of all, the Royal Prince himself.",https://subslikescript.com/movie/A_Royal_Christmas_Crush-28077855
Wishlist (2020) - full transcript,"In spring 2019 in Sevilla (Andalusia, south to Spain), Eva is a vet who feels a strange lump in her breast one day, around the time her best friend Mar, a schoolteacher who recently ended her 5-year relationship with her boyfriend Antonio because he didn't want to have children, moves in with Eva to figure out what's next. Eva asks Mar to touch her lump and they end up going to the hospital, where Eva is diagnosed with breast cancer. When Eva starts her chemotherapy treatment she meets hairstylist Carmen, who's a cancer expert after her third diagnosis in her life. Eccentric, vital, loudmouthed Carmen convinces Eva and Mar to make bucket lists of everything they wanted to do but never did. They decide to rent an RV and make a girls' trip after Eva's treatment finishes but before they know the results, and travel to Morocco to fulfill their respective lists. While Mar looks for an affair with a Dane and makes a dine-and-dash in the restaurant where she meets waiter Toni, Eva tries reconcile with her long-estranged father Ignacio and takes surfing lessons from teacher Manu. To fulfill their bucket lists, Eva, Mar, and Carmen have a series of increasingly crazy, comical, and touching experiences, learning that the really important thing in life is to hope and to have enough time to live it.",https://subslikescript.com/movie/Wishlist-9660666
Kochira Amiko (2022) - full transcript,"Amiko isn't like other children. Her endless energy and curious eccentricities make her an outcast at school and get her in trouble at home. When a painful family loss disrupts her seemingly idyllic seaside life, her sense of isol...",https://subslikescript.com/movie/Kochira_Amiko-23322952
They Made Me a Killer (1946) - full transcript,"Tom Durling is falsely accused of a bank robbery and murder. In order to clear his name, and that of the brother of his fiancée who was killed in the course of the robbery by the robbers, he flees. With the aid of his fiancée, June Reynolds, he sets out to find the needed evidence to convict the actual criminals.",https://subslikescript.com/movie/They_Made_Me_a_Killer-39023
23 1/2 Hours Leave (1937) - full transcript,"Army training Sgt. Gray makes a bet that he can get himself invited to breakfast with his commanding officer, General Markley. But he gets into an unhappy tangle with a couple of enemy spies (and a happy tangle with the general's daughter) before the bet is finally decided.",https://subslikescript.com/movie/23_12_Hours_Leave-28540
Tutta colpa di Freud (2014) - full transcript,"Psychoanalyst Francesco Taramelli is dealing with three patients going through various hurdles in their love lives: Marta is chasing a deaf-mute who has stolen things from her book shop; Sara is a lesbian whose girlfriend left her just after she proposed to her; and 18-year-old Emma is seeing 50-year-old Alessandro, an architect who is already married. Unfortunately, these three patients are Francesco's beloved daughters.",https://subslikescript.com/movie/Tutta_colpa_di_Freud-3237406
God's Country Song (2023) - full transcript,"Noah Bryan wants nothing more than to be the next big country music star, until his past catches up to him. With the help of his seasoned manager Larry Walker, Noah is quickly on his way to becoming the next big thing. Playing the...",https://subslikescript.com/movie/Gods_Country_Song-23836278
Operation Black Ops (2023) - full transcript,Official Trailer,https://subslikescript.com/movie/Operation_Black_Ops-27635178
Resident Evil: Death Island (2023) - full transcript,"A t-virus outbreak in San Francisco leads to Alcatraz Island, where a new evil has taken residence.",https://subslikescript.com/movie/Resident_Evil_Death_Island-26674627
Asteroid City (2023) - full transcript,"Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a junior stargazing event, only to have his world view disrupted fo...",https://subslikescript.com/movie/Asteroid_City-14230388
She Stoops to Conquer (2012) - full transcript,"Hardcastle, a man of substance, looks forward to acquainting his daughter with his old pal's son with a view to marriage. But thanks to playboy Lumpkin, he's mistaken by his prospective son-in-law Marlow for an innkeeper, his daughter for the local barmaid. The good news is, while Marlow can barely speak to a woman of quality he's a charmer with those of a different stamp. And so, as Hardcastle's indignation intensifies, Miss Hardcastle's appreciation for her misguided suitor soars. Misdemeanours multiply, love blossoms, mayhem ensues. One of the great, generous-hearted and ingenious comedies of the English language, Goldsmith's She Stoops to Conquer offers a celebration of chaos, courtship and the dysfunctional family.",https://subslikescript.com/movie/She_Stoops_to_Conquer-2108180
Kuhle Wampe or Who Owns the World? (1932) - full transcript,"A working-class family in Berlin in 1931 where survival is difficult, with massive unemployment in the wake of the Great Depression. After Anni's brother commits suicide in despair, her family finds itself forced to move to Kuhle Wampe, a lakeside camp on the outskirts of Berlin, now home to increasing numbers of unemployed. When Anni's relationship with Franz ends, she moves back to Berlin and gets involved in the workers' youth movement.",https://subslikescript.com/movie/Kuhle_Wampe_or_Who_Owns_the_World-23104
Unknown: Killer Robots (2023) - full transcript,"Follows the terrifying behind-the-scenes of military-funded scientists racing to build this technology, as Artificial intelligence infiltrates every level of the armed forces.",https://subslikescript.com/movie/Unknown_Killer_Robots-27837442
The Monsters Without (2021) - full transcript,"When a terrifying ancient Yablo called Nameless arrives with a plan to forcibly return his kind to their home dimension, only the members of P.H.A.S.E. resolve to stop him. Their leader is Setsuko, a Japanese-Korean woman who has clawed her way to the top of her field, only to request a P.H.A.S.E. assignment. Her fiance, Rommel Romero (Jake Macapagal), is an ex-police detective and the second in command. Two Americans, April and Richard, specialize in security and technology, respectively. Rommel's sister Wonder has a unique connection with the Yablo and serves as team biologist. The new intern Benito still has trouble believing everything he sees with P.H.A.S.E. And the newest recruit, Miranda (Jessica MacCleary), holds a stunning secret that will change everything. Though Nameless is nearly invincible, these lonely, conflicted, difficult, loving, and altogether human men, women, and monsters of P.H.A.S.E. must band together to save the world.",https://subslikescript.com/movie/The_Monsters_Without-8520912
The Well Groomed Bride (1946) - full transcript,"A man and a woman fight over the last bottle of champagne left in San Francisco--she wants it for a wedding, and he wants to use it to christen a ship.",https://subslikescript.com/movie/The_Well_Groomed_Bride-39098
Lola (2022) - full transcript,"1940, Thom and Mars have built a machine, LOLA, that can intercept radio and TV broadcasts from the future. Unknown to them sharing these broadcasts the devastating changes it will have on the future of world but to them also.",https://subslikescript.com/movie/Lola-11366674
Lui (2021) - full transcript,"Lacking inspiration, a composer isolates himself at a desolate house, on a small island, in Brittany. There he finds an old piano and receives visits from people who won't let him rest.",https://subslikescript.com/movie/Lui-13002242
That Uncertain Feeling (1941) - full transcript,"Against her better judgement, happily married Jill Baker is persuaded to see a popular psychoanalyst about her psychosomatic hiccups. Soon, she's disillusioned about husband Larry; and one day in the doctor's waiting room she meets pianist Alexander Sebastian, who's even more confused than she is. Can this marriage be saved? Larry has a plan that is pure Lubitsch...",https://subslikescript.com/movie/That_Uncertain_Feeling-34274
