title,plot,url
X (2002) - full transcript,,https://subslikescript.com/movie/X-326430
X-Deal (2011) - full transcript,"Photographer Billy and his girlfriend Sarah have just moved into a new apartment. They are no longer in love, but they content themselves with sex, often involving role play. Billy becomes enamored with their new neighbor Dana, who spends her days at home blogging and supplying drugs to a local dealer. The thing is, Dana's more attracted to Sarah. Billy lays out a deal: Dana can spend the night with Sarah, and in exchange, he gets to have sex with her. Billy manipulates the two ladies to get what he wants, but he fails to realize the risk of the arrangement.",https://subslikescript.com/movie/X-Deal-2049597
X (1996) - full transcript,"The story takes place in 1999, the Year of Destiny, and the beginning of the end of the world. The future of the universe rests on one young man, Kamui Shiro, who must destroy either the ...",https://subslikescript.com/movie/X-118200
X Moor (2014) - full transcript,A pair of documentarians head into the woods of the Exmoor countryside to find proof of the mysterious big cats that roam the area. But what they find in the depths of the forest is a horror beyond imagine. They must fight tooth and nail to survive or fall prey to what lurks in the darkness.,https://subslikescript.com/movie/X_Moor-3293138
X - The eXploited (2018) - full transcript,"Would you believe in a policewoman who suffers from such serious panic disorders that she is afraid to get close to any crime scene and has been on permanent office duty for more than a decade? Would you believe a lone mother who is unfit to pay her mortgage and also raise her rebellious teenage daughter? Indeed, no one believes that the troubled ex-detective has discovered a serial murder case. Personal dramas and a murder mystery unfold in present-day Budapest, where demonstrations are part of the pre-election life of a city still trying to cope with the shadows of its historical and recent past. It is a city where nothing seems honest and true, except through the eyes of an emotionally unstable policewoman and her misfit daughter who wants to know who her father truly was.",https://subslikescript.com/movie/X_-_The_eXploited-6190456
X (2021) - full transcript,"A brief encounter causes one man to reflect on the monumental impact that an 'ex' has had on his life...but can the man rediscover his once sentimental soul and reconnect with the notion that ""all you need is love""?",https://subslikescript.com/movie/X-13262868
X (2022) - full transcript,"Set in 1979, adult movie actors and a small film crew arrive to a farmhouse occupied by an elderly couple in the desolate Texas countryside to film an adult movie. As the day shifts to night, the visitors slowly realize that they are not safe, and are being targeted by a nearby enemy.",https://subslikescript.com/movie/X-13560574
X the Unknown (1956) - full transcript,"British Army radiation drills at a remote Scottish base attract a subterranean, radioactive entity of unknown nature that vanishes, leaving two severely radiation-burned soldiers... and a ""bottomless"" crack in the earth. Others who meet the thing in the night suffer likewise, and with increasing severity; it seems to be able to ""absorb"" radiation from any source, growing bigger and bigger. What is it?? How do you destroy a thing that ""feeds"" on energy?",https://subslikescript.com/movie/X_the_Unknown-49967
X Men Origins: Wolverine T4 Movie Special (2009) - full transcript,,https://subslikescript.com/movie/X_Men_Origins_Wolverine_T4_Movie_Special-1423570
X-Men (2000) - full transcript,"In a world where both Mutants and Humans fear each other, Marie, better known as Rogue, runs away from home and hitches a ride with another mutant, known as Logan, a.k.a. Wolverine. Charles Xavier, who owns a school for young mutants, sends Storm and Cyclops to bring them back before it is too late. Magneto, who believes a war is approaching, has an evil plan in mind, and needs young Rogue to help him.",https://subslikescript.com/movie/X-Men-120903
X-Men Origins: Wolverine (2009) - full transcript,"Two mutant brothers, Logan and Victor, born 200 years ago, suffer childhood trauma and have only each other to depend on. Basically, they're fighters and killers, living from war to war through U.S. history. In modern times, a U.S. colonel, Stryker, recruits them and other mutants as commandos. Logan quits and becomes a logger, falling in love with a local teacher. When Logan refuses to rejoin Stryker's crew, the colonel sends the murderous Victor. Logan now wants revenge.",https://subslikescript.com/movie/X-Men_Origins_Wolverine-458525
